Name,Genus,Species,Order,Family,From Pantheria?,ActivityPeriod,APSource,Seasonality,SeasonSource,BodySizeG,BSSource,Locomotion,LocoSource,FeedingHabit,FHSource,FeedingTechnique,FTSource,Notes
Atelocynus_microtis,Atelocynus,microtis,Carnivora,Canidae,1,Cathemeral,https://animaldiversity.org/,Resident,https://animaldiversity.org/,9500,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Aquatic vertivore,https://animaldiversity.org/,Aquatic surface hunter,https://animaldiversity.org/,
Baryphthengus_martii,Baryphthengus,martii,Coraciiformes,Momotidae,0,Diurnal,https://birdsoftheworld.org/,Resident,https://birdsoftheworld.org/,173,https://birdsoftheworld.org/,Volant,https://birdsoftheworld.org/,Omnivore,https://birdsoftheworld.org/,Air hunter under canopy,https://birdsoftheworld.org/,
Buteogallus_schistaceus,Buteogallus,schistaceus,Accipitriformes,Accipitridae,0,Diurnal,https://birdsoftheworld.org/,Resident,https://birdsoftheworld.org/,455,https://birdsoftheworld.org/,Volant,https://birdsoftheworld.org/,Carnivore,https://birdsoftheworld.org/,Air hunter under canopy,https://birdsoftheworld.org/,
Cabassous_unicinctus,Cabassous,unicinctus,Cingulata,Dasypodidae,1,Nocturnal,https://doi.org/10.1644/907,Resident,https://doi.org/10.1644/907,2900,https://doi.org/10.1644/907,Fossorial,https://doi.org/10.1644/907,Insectivore,https://doi.org/10.1644/907,Underground hunter,https://doi.org/10.1644/907,
Canis_lupus,Canis,lupus,Carnivora,Canidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",51500,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Carnivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Cebus_albifrons,Cebus,albifrons,Primates,Cebidae,1,Diurnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,2200,https://animaldiversity.org/,Arboreal,https://animaldiversity.org/,Frugivore,https://animaldiversity.org/,Arboreal browser,https://animaldiversity.org/,
Cebus_yuracus,Cebus,yuracus,Primates,Cebidae,0,Diurnal,https://digitalcommons.cwu.edu/etd/1211/,Resident,https://digitalcommons.cwu.edu/etd/1211/,2100,https://digitalcommons.cwu.edu/etd/1211/,Arboreal,https://digitalcommons.cwu.edu/etd/1211/,Omnivore,https://digitalcommons.cwu.edu/etd/1211/,Arboreal browser,https://digitalcommons.cwu.edu/etd/1211/,
Chironectes_minimus,Chironectes,minimus,Didelphimorphia,Didelphidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",289,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Aquatic vertivore,"(Mayani-Paras, et al. 2023)",Aquatic surface hunter,"(Mayani-Paras, et al. 2023)",
Coendou_longicaudatus,Coendou,longicaudatus,Rodentia,Erethizontidae,0,Nocturnal,https://doi.org/10.15560/20.1.152,Resident,https://doi.org/10.1111/jzs.12529,3903,https://doi.org/10.1111/jzs.12529,Arboreal,https://doi.org/10.1111/jzs.12529,Herbivore,https://doi.org/10.1111/jzs.12529,Arboreal browser,https://doi.org/10.1111/jzs.12529,
Copeoglossum_nigropunctatum,Copeoglossum,nigropunctatum,Squamata,Scincidae,0,Diurnal,https://doi.org/10.47051/LJXF6393,Resident,https://doi.org/10.47051/LJXF6393,22.3,"Brasileiro, A. C. (2021). Tail bifurcation in Tropidurus hispidus (Spix, 1825) and Copeoglossum nigropunctatum (Spix, 1825).",Arboreal,https://doi.org/10.47051/LJXF6393,Insectivore,https://doi.org/10.47051/LJXF6393,Ground hunter,https://doi.org/10.47051/LJXF6393,arboreal AND terrestrial; weight is from a single female
Crypturellus_soui,Crypturellus,soui,Tinamiformes,Tinamidae,0,Diurnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",209,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Frugivore,"(Mayani-Paras, et al. 2023)",Ground browser,"(Mayani-Paras, et al. 2023)",
Crypturellus_undulatus,Crypturellus,undulatus,Tinamiformes,Tinamidae,0,Diurnal,https://doi.org/10.1111/btp.12742,Resident,https://birdsoftheworld.org/,541.5,https://birdsoftheworld.org/,Terrestrial,https://birdsoftheworld.org/,Omnivore,https://birdsoftheworld.org/,Ground browser,https://birdsoftheworld.org/,
Cuniculus_paca,Cuniculus,paca,Rodentia,Cuniculidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",9000,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Herbivore,"(Mayani-Paras, et al. 2023)",Ground browser,"(Mayani-Paras, et al. 2023)",
Dasyprocta_fuliginosa,Dasyprocta,fuliginosa,Rodentia,Dasyproctidae,1,Diurnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,3300,https://animaldiversity.org/,Terrestrial,https://animaldiversity.org/,Frugivore,https://animaldiversity.org/,Ground browser,https://animaldiversity.org/,
Dasypus_novemcinctus,Dasypus,novemcinctus,Cingulata,Dasypodidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",5500,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Insectivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Pecari_tajacu,Pecari,tajacu,Cetartiodactyla,Tayassuidae,0,Diurnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",21928.57,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Herbivore,"(Mayani-Paras, et al. 2023)",Ground browser,"(Mayani-Paras, et al. 2023)","Changed manually from ""Dicotyles"" to ""Pecari"""
Didelphis_marsupialis,Didelphis,marsupialis,Didelphimorphia,Didelphidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",4200,"(Mayani-Paras, et al. 2023)",Semi-arboreal,"(Mayani-Paras, et al. 2023)",Omnivore,"(Mayani-Paras, et al. 2023)",Ground browser,"(Mayani-Paras, et al. 2023)",
Eira_barbara,Eira,barbara,Carnivora,Mustelidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",4500,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Omnivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Geotrygon_montana,Geotrygon,montana,Columbiformes,Columbidae,0,Diurnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",119.5,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Granivore,"(Mayani-Paras, et al. 2023)",Ground browser,"(Mayani-Paras, et al. 2023)",
Hadrosciurus_igniventris,Hadrosciurus,igniventris,Rodentia,Sciuridae,0,Diurnal,https://www.gbif.org/species/197542396,Resident,https://www.gbif.org/species/197542396,750,https://www.gbif.org/species/197542396,Arboreal,https://www.gbif.org/species/197542396,Granivore,https://www.gbif.org/species/197542396,Ground browser,https://www.gbif.org/species/197542396,
Hadrosciurus_spadiceus,Hadrosciurus,spadiceus,Rodentia,Sciuridae,0,Diurnal,https://www.gbif.org/species/197542372,Resident,https://www.gbif.org/species/197542372,615,https://www.gbif.org/species/197542372,Arboreal,https://www.gbif.org/species/197542372,Granivore,https://www.gbif.org/species/197542372,Ground browser,https://www.gbif.org/species/197542372,
Herpailurus_yagouaroundi,Herpailurus,yagouaroundi,Carnivora,Felidae,0,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",6250,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Carnivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Homo_sapiens,Homo,sapiens,Primates,Hominidae,1,Diurnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,70250,https://www3.paho.org/hq/dmdocuments/2012/PAHO-CAMDI-English2-2012.pdf,Terrestrial,https://animaldiversity.org/,Omnivore,https://animaldiversity.org/,Ground hunter,https://animaldiversity.org/,Weight is average M/F weight across several South American cities
Hydrochoerus_hydrochaeris,Hydrochoerus,hydrochaeris,Rodentia,Caviidae,1,Diurnal,https://animaldiversity.org/,Resident,https://animaldiversity.org/,50500,https://animaldiversity.org/,Semi-aquatic,https://animaldiversity.org/,Herbivore,https://animaldiversity.org/,Ground browser,https://animaldiversity.org/,
Leopardus_pardalis,Leopardus,pardalis,Carnivora,Felidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",12250,"(Mayani-Paras, et al. 2023)",Terrestrial,"(Mayani-Paras, et al. 2023)",Carnivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Leopardus_wiedii,Leopardus,wiedii,Carnivora,Felidae,1,Nocturnal,"(Mayani-Paras, et al. 2023)",Resident,"(Mayani-Paras, et al. 2023)",4000,"(Mayani-Paras, et al. 2023)",Semi-arboreal,"(Mayani-Paras, et al. 2023)",Carnivore,"(Mayani-Paras, et al. 2023)",Ground hunter,"(Mayani-Paras, et al. 2023)",
Leucopternis_melanops,Leucopternis,melanops,Accipitriformes,Accipitridae,0,Diurnal,https://www.jstor.org/stable/2560307,Resident,https://birdsoftheworld.org/,338.5,https://birdsoftheworld.org/,Volant,https://birdsoftheworld.org/,Carnivore,https://birdsoftheworld.org/,Air hunter under canopy,https://birdsoftheworld.org/,
